codigo_municipio_4d,Departamento,Municipio,maga_department,maga_municipality,mapped_area_ha,agricultural_land_ha,maize_bean_ha,A,total,agricultural_share_pct,agricultural_land_share_of_mapped_pct,maize_bean_share_of_agricultural_land_pct,ag_workers_per_100_agricultural_ha,historical_mean_may_aug_mm,historical_sd_may_aug_mm,rain_2026_may_aug_mm,rainfall_z_score_vs_1981_2025,z_2015_common,z_2026_common,impact_composite,impact_composite_2015
1019,Suchitepéquez,Pueblo Nuevo,Suchitepéquez,Pueblo Nuevo,1852.00962012679,1405.55938887814,0.0,1365,3832,35.62108559498956,75.893741242117,0.0,97.11435964932703,1985.7581929688863,347.40839170400017,1045.6881989820274,-2.705950738195812,-1.606152704149679,-2.705950738195812,262.78667318251007,155.98049136253107
0912,Quetzaltenango,San Martín Sacatepéquez,Quetzaltenango,San Martín Sacatepéquez,14380.311294132836,4825.272752207301,397.68788569483,4755,9588,49.593241551939926,33.554716956482096,8.241770074301176,98.54365222825683,1762.2051743455766,261.3859745369572,1065.438487778987,-2.665662102952942,-1.420755456208861,-2.665662102952942,262.6840792314385,140.00643157804436
0705,Sololá,Nahualá,Sololá,Nahualá,18696.231286052414,8924.313065332264,3694.271986775375,8881,20155,44.063507814438104,47.733219218302544,41.39558932693978,99.51466219287488,1268.7054003297897,237.9665454153107,640.7076467430601,-2.6390169781669,-1.6207136257400674,-2.6390169781669,262.6208831035405,161.28476897691226
0107,Guatemala,San Pedro Ayampuc,Guatemala,San Pedro Ayampuc,10668.222694646513,2014.7454377611487,1058.9798961279487,2273,22311,10.187799740038546,18.885483509565102,52.561473835857,112.81822295752819,679.3514012654831,147.4031573174629,337.83690689480534,-2.316873672082589,-1.6559676198031548,-2.316873672082589,261.38557050144055,186.82332414139958
0719,Sololá,Santiago Atitlán,Sololá,Santiago Atitlán,11597.662188438044,4633.03183668884,563.67999265169,4891,19898,24.580359835159314,39.94798056204472,12.166546929117239,105.56802051883862,1207.08484214742,236.3577700964272,625.5078940874005,-2.460578925849372,-1.4972175106987629,-2.460578925849372,259.7584465322884,158.0582888906115
1401,Quiché,Santa Cruz Del Quiché,Quiché,Santa Cruz del Quiché,11214.999999882606,4348.991561401697,4287.31268493011,4816,25132,19.162820308769696,38.77834651312725,98.58176601171172,110.73831558430948,820.171415553308,174.8936226672269,412.5555000418893,-2.330650536566427,-1.664015379571652,-2.330650536566427,258.09231463503323,184.2702602401501
0712,Sololá,San Antonio Palopó,Sololá,San Antonio Palopó,2599.47600757931,1515.472075875947,450.85093107691,1511,3853,39.21619517259278,58.299136882097564,29.749867269333677,99.7049054253697,747.2474848891236,151.7801546256108,359.829905201581,-2.55249166561444,-1.4510182656101462,-2.55249166561444,254.49594011913211,144.6736389431436
0714,Sololá,Santa Cruz La Laguna,Sololá,Santa Cruz La Laguna,1099.7783107364091,579.79513652952,412.29426309915004,563,1653,34.05928614640048,52.71927359081036,71.11033486189966,97.10326364066269,882.1788192461042,183.01869125632157,417.24388608295874,-2.5403685818733908,-1.5344359392181564,-2.5403685818733908,246.67808015010826,148.9987375456085
0109,Guatemala,San Pedro Sacatepéquez,Guatemala,San Pedro Sacatepéquez,2884.994698948051,829.9788912096719,99.740418751353,853,23094,3.6936000692820645,28.768818587857552,12.017223547213836,102.77369810655972,794.3541452704935,178.34897148315923,368.0538119267777,-2.3902595557382824,-1.2883164988916262,-2.3902595557382824,245.6558139777658,132.40505092278798
0106,Guatemala,Chinautla,Guatemala,Chinautla,6694.88464535069,756.343246753478,229.876610923858,764,47498,1.6084887784748831,11.297330526504679,30.393159707656366,101.01233841637217,781.2513278676729,175.818569432629,367.66835335320656,-2.352328174715044,-1.5180116375395185,-2.352328174715044,237.6141696506831,153.33790525113315
