rank_2026_C,codigo_municipio_4d,department,municipality,rainfall_2026_may_aug_mm,historical_median_rainfall_mm_1981_2025,historical_sd_rainfall_mm_1981_2025,z_2026_common_1981_2025,H_2026,agricultural_workers_ine_2018,total_workers_ine_2018,agricultural_dependence_pct,mapped_agricultural_land_ha_maga_2025,ag_workers_per_100_mapped_agricultural_ha,d_dependency_percentile,p_density_percentile,E_structural_exposure,C_impact_2026,z_2015_common_1981_2025,H_2015,C_impact_2015
22,0404,Chimaltenango,Comalapa,302.67929816025975,627.0907321366636,127.81696212756934,-2.704137280905673,2.704137280905673,7405,21302,34.76199417895033,3829.399667833904,193.37234664222527,43.52941176470589,96.17647058823528,69.85294117647058,188.8919424162051,-1.334250835299739,1.334250835299739,93.2013451128494
23,0908,Quetzaltenango,San Miguel Sigüilá,579.7399730234918,987.9513087244998,161.14704633742463,-2.5241083199841583,2.5241083199841583,833,1940,42.93814432989691,742.8504977993757,112.13561846800718,60.0,87.05882352941177,73.52941176470588,185.5961999988352,-1.293798306099358,1.293798306099358,95.13222838965868
24,0706,Sololá,Santa Catarina Ixtahuacán,776.0946751605176,1491.988962867527,292.45920878019774,-2.6233459552096434,2.6233459552096434,6401,12370,51.746160064672594,9872.544796242491,64.8363733172042,75.29411764705883,66.17647058823529,70.73529411764706,185.5631477140939,-1.6034761454419744,1.6034761454419744,113.42235675846906
25,0411,Chimaltenango,Acatenango,874.7175901483682,1679.9850671707131,301.3902945300818,-2.707022697603166,2.707022697603166,3755,6678,56.22941000299491,7932.129546944315,47.33911590546998,83.52941176470588,49.11764705882353,66.32352941176471,179.53929950279823,-1.233154529800397,1.233154529800397,81.7871607264675
26,1318,Huehuetenango,San Mateo Ixtatán,1009.258407068891,1805.9433702605247,414.3271573552501,-1.9961612908060435,1.9961612908060435,8077,9484,85.1644875579924,9527.467004939315,84.77594302675253,99.70588235294116,78.23529411764706,88.97058823529412,177.5996442555377,-2.0645132260125547,2.0645132260125547,183.6809561378817
27,1416,Quiché,Sacapulas,370.9133035082243,656.4806664650977,149.54593899636225,-2.129676098939566,2.129676098939566,9543,17285,55.20971940989297,9346.558898163608,102.10174786225323,82.6470588235294,83.23529411764706,82.94117647058823,176.63784114734048,-1.8819668177901816,1.8819668177901816,156.09254194612683
28,2010,Chiquimula,San Jacinto,293.1822998145703,689.3793479870876,151.7217424488989,-2.784172261614961,2.784172261614961,1680,3458,48.58299595141701,3086.885501431735,54.42378731640016,70.0,56.47058823529412,63.23529411764706,176.05795183741665,-2.2995242792265005,2.2995242792265005,145.41109412755813
29,1221,San Marcos,La Reforma,1290.10091948133,2050.2570778965523,304.7642938629192,-2.521944302222974,2.521944302222974,2464,4346,56.69581224114128,4890.532086033921,50.38306582297127,85.29411764705883,52.94117647058824,69.11764705882354,174.31085618305852,-1.0780227414508188,1.0780227414508188,74.51039536498307
30,1404,Quiché,Zacualpa,460.46391302334433,830.209353634657,165.91413211915977,-2.4274335994239533,2.4274335994239533,4701,8981,52.343836989199424,7137.134646668299,65.86676912694206,76.47058823529412,67.05882352941175,71.76470588235293,174.20405831160133,-1.7416561482554649,1.7416561482554649,124.9894412277451
31,0712,Sololá,San Antonio Palopó,359.829905201581,770.5230056891555,151.7801546256108,-2.55249166561444,2.55249166561444,1511,3853,39.21619517259278,1515.472075875947,99.7049054253697,51.76470588235295,82.6470588235294,67.20588235294117,171.5424545861469,-1.4510182656101462,1.4510182656101462,97.51696285056424
